Atbrīvošanas aleja 141A, Rēzekne
Biķernieku iela 143, Rīga
Brīvības iela 108, Jēkabpils
Brīvības iela 30, Saldus
Cietokšņa iela 60, Daugavpils
Dārzkopības iela 19, Jūrmala
Domes iela 4A, Līvāni
Dzelzavas iela 6A, Rīga
Georga Apiņa iela 10A, Valmiera
Klaipēdas iela 62, Liepāja
Kurzemes prospekts 141, Rīga
Mūkusalas iela 73, Rīga
Nīcgales iela 46a, Rīga
Pededzes iela 1, Mārupe
Rīgas iela 11A, Jelgava
Rīgas iela 23, Ogre
Rīgas iela 8, Talsi
Rusova iela 1, Rīga
Rūpniecības iela 49, Madona
Stacijas iela 8, Limbaži
Talsu šoseja 25, Jūrmala
Valmieras iela 17A, Cēsis
Vienības gatve 113, Rīga

